# Camera Hexapod motion
# from https://github.com/bxin/hexrot/blob/master/LUT/Camera%20Hexapod%20Motions%20in%20Elevation%20Axis%202020%2007%2023.xlsx
# ZD     dx            dy            dz          du          dv              dw
# deg    um            um            um          deg         deg             deg
90       0.927786    641.860517   -605.175634    0.017729   -2.275764e-06   -3.441770e-05
85       0.782674    639.419713   -525.880258    0.017593   -1.451699e-06   -2.948852e-05
80       0.637150    626.915855   -447.260678    0.017188   -6.995946e-07   -2.465315e-05
75       0.492320    604.444105   -369.915237    0.016518   -2.517423e-08   -1.994838e-05
70       0.349289    572.175486   -294.432581    0.015586    5.664294e-07   -1.541003e-05
65       0.209143    530.355582   -221.387177    0.014401    1.070714e-06   -1.107263e-05
60       0.072949    479.302667   -151.334946    0.012971    1.483841e-06   -6.969198e-06
55      -0.058255    419.405286    -84.809028    0.011308    1.802667e-06   -3.130954e-06
50      -0.183472    351.119292    -22.315724    0.009424    2.024765e-06    4.128845e-07
45      -0.301748    274.964385     35.669353    0.007332    2.148445e-06    3.635348e-06
40      -0.412184    191.520149     88.704902    0.005050    2.172766e-06    6.511912e-06
35      -0.513938    101.421645    136.387290    0.002595    2.097542e-06    9.020684e-06
30      -0.606237      5.354576    178.353626   -0.000015    1.923347e-06    1.114257e-05
25      -0.688378    -95.949928    214.284521   -0.002761    1.651505e-06    1.286142e-05
20      -0.759735   -201.720880    243.906518   -0.005620    1.284086e-06    1.416416e-05
15      -0.819767   -311.153298    266.994177   -0.008571    8.238858e-07    1.504086e-05
10      -0.868015   -423.414336    283.371786   -0.011592    2.744070e-07    1.548487e-05
5       -0.904113   -537.649619    292.914701   -0.014660   -3.601685e-07    1.549279e-05
0       -0.927786   -652.989748    295.550297   -0.017752   -1.075011e-06    1.506457e-05
