# M2 Hexapod motions
# from https://github.com/bxin/hexrot/blob/master/LUT/M2%20Hexapod%20Motions%20in%20Elevation%20Axis%202020%2007%2023.xlsx
# ZD     dx            dy            dz          du          dv              dw
# deg    um            um            um          deg         deg             deg
90       2.942346    556.661158   -656.970625    0.006705   -2.213304e-05   -9.264003e-05
85       2.133244    556.057031   -567.003415    0.006638   -1.848748e-05   -7.461302e-05
80       1.366087    546.525916   -478.282712    0.006471   -1.496505e-05   -5.746678e-05
75       0.646713    528.140350   -391.483734    0.006206   -1.159255e-05   -4.133180e-05
70      -0.019403    501.040260   -307.267074    0.005845   -8.395654e-06   -2.633088e-05
65      -0.627190    465.431892   -226.273672    0.005390   -5.398687e-06   -1.257820e-05
60      -1.172025    421.586249   -149.119936    0.004845   -2.624460e-06   -1.784024e-07
55      -1.649759    369.837021    -76.393053    0.004214   -9.408517e-08    1.077413e-05
50      -2.056758    310.578052     -8.646518    0.003502    2.173179e-06    2.019604e-05
45      -2.389924    244.260339     53.604076    0.002713    4.160077e-06    2.801563e-05
40      -2.646721    171.388599    109.884966    0.001856    5.851487e-06    3.417337e-05
35      -2.825195     92.517430    159.767819    0.000934    7.234538e-06    3.862242e-05
30      -2.923987      8.247089    202.872997   -0.000043    8.298702e-06    4.132891e-05
25      -2.942346    -80.781075    238.872443   -0.001069    9.035882e-06    4.227223e-05
20      -2.880131   -173.889505    267.492180   -0.002136    9.440466e-06    4.144522e-05
15      -2.737817   -270.369588    288.514395   -0.003236    9.509376e-06    3.885416e-05
10      -2.516487   -369.487054    301.779095   -0.004361    9.242087e-06    3.451878e-05
 5      -2.217825   -470.487558    307.185328   -0.005501    8.640634e-06    2.847206e-05
 0      -1.844103   -572.602427    304.691951   -0.006649    7.709593e-06    2.076004e-05
